"transE-High_S47_L005"	"transE-Low_S45_L005"	"transE-Medium_S46_L005"	"transE-Pre_S48_L005"
"ADI1"	0	0	0.846849693997479	2.35316425177202
"ADIPOQ"	2.59914153974	0	5.37220274629651	2.09800186302565
"ADIPOR1"	1.71082734261367	2.85253660979044	1.40259480568332	2.21140736913515
"ADIPOR2"	5.69179096677241	12.0142130153527	6.8541897107921	11.1420909752579
"ADIRF"	18.3584934072775	32.5189173516111	24.3998568083024	19.8176121926342
"ADK"	22.3065565056167	65.4741050082489	40.8604977353784	37.1686546273869
"ADM"	10.8242729946134	4.76541410106168	7.48932698129021	6.35070834213171
"ADM2"	17.6675823650681	19.3301304381094	25.0614581317379	23.7868049064665
"ADM5"	4.04676467579772	14.497597828582	2.85811771724149	10.0647386672177
"ADNP"	0.493507887292406	1.87931823703841	3.54618309361444	5.41511291672838
"ADNP2"	39.4148299317535	25.7399479965796	16.0901441859521	38.1893041823724
"ADORA2B"	34.4139500071904	45.1371969431547	32.921281854152	44.3415528888125
"ADORA3"	73.4997746807489	66.9842714487262	90.2159564636689	42.8956326859164
"ADPGK"	6.61300568971823	6.44337681270312	9.65937932215875	17.5778534469717
"ADPRH"	54.647773386179	8.2891357955087	25.3260986611121	31.2148655566385
"ADPRHL1"	24.9056980453567	17.6186084722351	34.8002296127089	23.3331828820286
"ADPRHL2"	8.8502414454438	5.57083620264957	6.03380406973204	16.2453387501851
"ADPRM"	20.5628286371836	25.9413035219766	2.77872555842923	18.7969626376488
"ADRA1A"	81.165597196691	84.4686429040299	140.656441362394	110.315206068011
"ADRA1B"	1.84242944589165	8.18845803281021	2.6199412408047	5.95378907074848
"ADRA1D"	6.31690095734279	0	6.9865099754792	3.65732757203121
"ADRA2A"	98.6028758810226	77.3876402609031	178.367716798219	85.195886464758
"ADRA2B"	171.806545829396	151.687829132386	282.000948101161	195.482741156242
"ADRB1"	45.9620345698327	35.8412835206611	33.0800661717765	27.1039159601693
"ADRB3"	3.98096362415874	19.4979267092735	28.3165366430407	24.807454461452
"ADRBK1"	0	0	1.77309154680722	0
