"transE_high_s47"	"transE_low_s45"	"transE_medium_s46"	"transE_pre_s48"
"KIAA1407"	3212	4567	2146	3075
"KIAA1467"	47	774	383	194
"KIAA1468"	5571	1675	2592	2165
"KIAA1522"	3485	4623	5127	4377
"KIAA1551"	0	0	21	0
"KIAA1586"	0	65	0	0
"KIAA1614"	0	283	0	124
"KIAA1671"	757	1894	2039	1521
"KIAA1715"	459	763	341	671
"KIAA1841"	3024	3187	2065	2156
"KIAA1919"	4046	3099	6460	3688
"KIAA1958"	35	0	0	0
"KIAA2012"	23	514	234	393
"KIAA2013"	2532	1704	2045	2109
"KIAA2022"	782	588	468	588
"KIAA2026"	69	0	3	86
"KIDINS220"	15	0	70	0
"KIF12"	1435	921	771	938
"KIF13A"	8266	9895	9977	12067
"KIF13B"	725	539	1135	491
"KIF14"	52	354	41	205
"KIF15"	3413	3152	6684	2627
"KIF16B"	1241	2435	2404	1886
"KIF17"	1240	894	977	1757
"KIF19"	1	0	11	0
"KIF1A"	228	1030	1428	934
"KIF1B"	1671	1773	717	2312
"KIF1C"	40	91	125	318
"KIF21A"	36	65	22	0
"KIF25"	897	1291	923	827
"KIF26A"	7295	5406	14455	7593
"KIF26B"	238	1	72	212
"KIF27"	39	0	19	0
"KIF2A"	0	228	133	488
"KIF3A"	10686	9527	5469	13048
"KIF3B"	200	129	0	5
"KIF3C"	964	1245	1785	903
"KIF4A"	0	34	53	0
"KIF4B"	0	0	58	0
"KIF5A"	393	131	112	78
"KIF5B"	0	67	18	104
"KIF5C"	10045	9881	12026	11324
"KIF6"	1453	1408	1656	1468
"KIFAP3"	82	0	247	166
"KIFC2"	7973	6442	8066	8655
"KIN"	832	379	508	486
"KIR2DL1"	18	0	7	0
"KIR2DL3"	0	0	18	0
"KIR2DL4"	1474	2201	1631	2464
"KIR2DS4"	3895	4944	10221	7352
"KIR3DL3"	1095	1382	1970	1084
"KIRREL"	378	634	687	611
"KIRREL2"	4586	2008	5340	4161
"KIRREL3"	3121	5095	4894	4936
"KISS1R"	4689	3924	7733	5001
"KIT"	0	0	12	0
"KITLG"	0	49	0	0
"KL"	0	0	50	0
"KLB"	2735	2524	5995	4359
"KLC1"	575	595	1842	1010
"KLC3"	121	0	133	42
"KLC4"	1612	2379	3475	2210
"KLF1"	1214	2012	3573	1451
"KLF10"	742	1505	933	1449
"KLF12"	5897	5286	2763	3865
"KLF13"	237	403	801	549
"KLF14"	2161	1525	6152	2510
"KLF15"	1643	3216	3455	3380
"KLF17"	6656	3452	9731	6859
"KLF2"	357	521	326	296
"KLF3"	6389	3621	4603	6035
"KLF5"	134	53	165	0
"KLF6"	2771	2052	1240	2592
"KLF7"	10412	8351	10646	10848
"KLF9"	9221	6391	13610	8313
"KLHDC2"	3949	2786	1529	4015
"KLHDC7B"	2203	2401	4048	3221
"KLHDC8A"	343	526	707	389
"KLHDC8B"	2141	2090	5039	3462
"KLHDC9"	126	222	257	490
"KLHL1"	887	787	907	845
"KLHL10"	0	160	539	203
"KLHL11"	18	0	0	0
"KLHL13"	1178	1459	1730	1181
"KLHL15"	56	255	66	133
"KLHL2"	2138	776	2690	2173
"KLHL20"	408	502	758	429
"KLHL21"	232	1557	899	783
"KLHL22"	28	0	0	60
"KLHL23"	131	594	141	187
"KLHL25"	8390	9124	11621	12006
"KLHL26"	38	873	868	725
"KLHL29"	677	230	453	607
"KLHL3"	1329	996	959	742
"KLHL30"	62	371	478	76
"KLHL31"	0	185	73	0
"KLHL32"	2134	1962	2163	2081
"KLHL33"	252	583	715	193
"KLHL35"	0	440	325	0
"KLHL36"	7034	6353	7705	8327
"KLHL4"	499	1166	235	364
"KLHL41"	1094	711	867	1313
"KLHL42"	714	200	930	614
"KLHL5"	1689	1560	950	1334
"KLHL7"	1246	451	600	408
"KLHL8"	0	0	0	57
"KLHL9"	59	0	0	0
"KLK10"	5367	6333	17265	7539
"KLK11"	0	0	194	47
"KLK12"	582	497	779	392
"KLK15"	520	403	917	1085
"KLK2"	0	0	81	0
"KLK3"	854	1125	1883	1804
"KLK4"	6038	4091	7263	5259
"KLK6"	916	1565	530	1431
"KLK7"	4670	4248	7161	5901
"KLK8"	0	0	108	170
"KLK9"	581	769	1261	923
"KLLN"	549	587	233	221
"KLRB1"	91	884	18	284
"KLRC1"	30	330	109	240
"KLRC2"	24	264	146	175
"KLRC4-KLRK1"	951	4486	878	1826
"KLRF2"	6478	8219	3422	8700
"KLRG1"	920	746	411	1177
"KLRG2"	3884	5524	7619	5682
"KLRK1"	3984	5952	1895	7471
"KMO"	0	69	45	0
"KMT2A"	114	173	197	91
"KMT2B"	102	224	368	440
"KMT2C"	13783	10624	14883	13567
"KMT2D"	32078	20721	23096	25420
"KMT2E"	244	427	664	368
"KNCN"	306	52	158	40
"KNOP1"	0	0	0	98
"KPNA1"	0	0	0	47
"KPNA5"	2979	5321	6364	4418
"KPNA7"	573	447	427	342
"KPRP"	5763	4945	15462	6570
"KPTN"	2408	4698	1788	3580
"KRAS"	1469	2143	2493	2274
"KRBA1"	8149	8574	8365	8168
"KRBA2"	61	0	24	0
"KRBOX1"	42	0	0	73
"KRBOX4"	1747	1215	1351	1934
"KRCC1"	4954	3217	4578	4365
"KREMEN2"	169	59	134	58
"KRIT1"	220	95	245	152
"KRT1"	222	1024	641	553
"KRT13"	8473	7681	12114	11979
"KRT15"	1535	1941	3324	2928
"KRT16"	1676	4797	4359	3139
"KRT17"	1953	1944	1133	1927
"KRT18"	0	0	42	0
"KRT19"	320	58	264	298
"KRT2"	69	246	285	216
"KRT20"	9	0	48	0
"KRT222"	210	267	171	293
"KRT23"	108	182	129	379
"KRT24"	45	0	0	0
"KRT25"	1309	763	1001	1065
"KRT28"	2760	4978	2071	4160
"KRT3"	0	0	3	0
"KRT31"	4004	2240	4708	3047
"KRT33A"	0	662	258	255
"KRT33B"	426	1085	918	651
"KRT34"	39049	18293	42808	29655
"KRT35"	3135	2587	5031	2794
"KRT36"	203	467	896	637
"KRT37"	3441	3765	6827	4780
"KRT39"	20	80	64	71
"KRT4"	6306	6729	10112	9321
"KRT40"	108	311	379	150
"KRT5"	3894	4226	5894	5173
"KRT7"	5043	5140	8110	6618
"KRT71"	889	780	1531	1324
"KRT73"	1029	882	998	813
"KRT74"	78	18	52	175
"KRT75"	389	95	131	462
"KRT76"	529	260	235	1043
"KRT78"	12019	13589	13638	16385
"KRT8"	35	0	0	120
"KRT80"	0	341	297	113
"KRT82"	1089	997	2069	1557
"KRT83"	119	0	141	421
"KRT84"	366	583	522	382
"KRT85"	136	161	53	322
"KRT86"	2	0	0	0
"KRTAP1-1"	313	357	546	197
"KRTAP1-3"	0	0	1	0
"KRTAP1-4"	41	83	552	243
"KRTAP1-5"	911	765	898	1228
"KRTAP10-10"	4081	4998	8006	4779
"KRTAP10-11"	2294	3409	4874	4990
"KRTAP10-12"	2053	2834	3683	2235
"KRTAP10-2"	2896	1965	2865	2938
"KRTAP10-3"	0	0	0	55
"KRTAP10-5"	3067	6305	8235	4588
"KRTAP10-6"	2	2	1	2
"KRTAP10-7"	0	0	129	0
"KRTAP10-8"	5048	4047	9472	6206
"KRTAP10-9"	68	109	165	70
"KRTAP12-2"	4354	4738	7538	6109
"KRTAP12-3"	0	0	36	1
"KRTAP13-1"	3861	2787	4536	4089
"KRTAP13-2"	892	765	902	661
"KRTAP13-3"	266	127	293	283
"KRTAP15-1"	3166	3059	3150	3259
"KRTAP16-1"	4150	2872	4155	5745
"KRTAP17-1"	860	802	840	262
"KRTAP19-1"	106	84	378	244
"KRTAP19-2"	3513	2221	6494	3533
"KRTAP19-3"	1671	1909	3604	2313
"KRTAP19-4"	4934	5821	5908	6051
"KRTAP19-7"	143	1115	857	332
"KRTAP19-8"	0	0	29	0
"KRTAP2-2"	3244	5544	10072	4329
"KRTAP2-3"	0	16	35	2
"KRTAP20-1"	0	0	178	122
"KRTAP20-2"	4366	3290	4683	4046
"KRTAP21-1"	0	188	22	0
"KRTAP21-2"	5294	5319	10284	7955
"KRTAP21-3"	3044	3142	3034	3228
"KRTAP23-1"	445	0	289	145
"KRTAP24-1"	285	132	450	260
"KRTAP26-1"	451	134	199	676
"KRTAP27-1"	642	633	1087	772
"KRTAP29-1"	1682	1811	1759	2256
"KRTAP3-1"	7634	6814	5480	7049
"KRTAP3-2"	7623	8250	15233	9546
"KRTAP3-3"	2	0	0	0
"KRTAP4-11"	1177	776	1190	587
"KRTAP4-12"	44	258	90	83
"KRTAP4-2"	2645	3536	5795	3597
"KRTAP4-3"	9908	7487	9174	8759
"KRTAP4-4"	489	1264	934	737
"KRTAP4-6"	0	0	54	104
"KRTAP4-8"	944	802	2120	918
"KRTAP4-9"	47	327	200	276
"KRTAP5-1"	3560	3046	6006	5374
"KRTAP5-10"	55	0	0	0
"KRTAP5-11"	159	0	77	134
"KRTAP5-2"	951	2130	1683	1905
"KRTAP5-5"	7106	5562	10902	7124
"KRTAP5-6"	2691	2010	4677	4416
"KRTAP5-8"	0	0	1	0
"KRTAP5-9"	805	313	652	892
"KRTAP6-1"	628	219	942	787
"KRTAP6-2"	3415	3733	7668	5411
"KRTAP6-3"	567	477	710	849
"KRTAP7-1"	3193	4563	3916	4059
"KRTAP9-1"	1881	2190	4083	1974
"KRTAP9-2"	915	729	1128	692
"KRTAP9-4"	31	1	0	133
"KRTAP9-6"	891	1157	806	480
"KRTAP9-7"	6515	3787	11572	7123
"KRTAP9-8"	3944	3204	5696	3646
"KRTAP9-9"	1038	1592	3143	1695
"KRTCAP2"	697	953	1620	908
"KRTDAP"	0	0	2	0
"KSR2"	41	148	119	122
"KTN1"	32	0	62	46
"KYNU"	67	0	16	39
"L1TD1"	0	0	0	33
"L3MBTL1"	2938	2087	3427	2893
"L3MBTL2"	468	2537	2266	1120
"L3MBTL4"	426	557	332	331
"LACC1"	123	331	299	439
"LACE1"	628	579	155	701
"LACTBL1"	1289	323	1085	946
"LAD1"	3800	4149	5478	4224
"LAGE3"	0	0	75	0
"LAIR1"	2227	2054	1993	1449
"LALBA"	1908	343	1752	2175
"LAMA1"	1399	1050	828	1111
"LAMA2"	906	5854	2455	2695
"LAMA3"	1586	694	1262	464
"LAMA5"	0	106	447	0
"LAMB1"	1732	2165	962	1934
"LAMB3"	408	70	204	93
"LAMB4"	1800	1526	1476	2635
"LAMC1"	4031	3915	4406	5879
"LAMC2"	0	273	155	389
"LAMC3"	891	933	819	1817
"LAMP1"	3316	5310	4227	4706
"LAMP2"	3635	4997	5169	4796
"LAMP5"	2855	2418	3389	3690
"LAMTOR3"	1590	1448	786	1327
"LAMTOR5"	2220	2034	1802	1307
"LANCL1"	222	0	0	48
"LAP3"	3348	3411	1487	3774
"LAPTM4A"	0	0	16	0
"LAPTM4B"	576	573	936	351
"LAPTM5"	2367	2555	4001	3852
"LARGE"	154	70	187	43
"LARP1"	0	0	22	0
"LARP1B"	1903	867	850	1197
"LARP4B"	111	64	490	197
"LARP6"	30	621	102	225
"LAS1L"	1007	1200	333	744
"LASP1"	2076	2422	4665	2824
"LAT"	196	109	90	302
"LATS2"	1351	2382	3017	2629
"LAX1"	593	670	602	1069
"LAYN"	123	234	11	150
"LBH"	6124	6397	15092	7295
"LBP"	1235	657	825	1055
"LBR"	90	154	261	262
"LBX1"	45	1129	1025	498
"LCA5"	122	182	121	45
"LCA5L"	477	594	35	692
"LCE1B"	1407	1138	2396	2179
"LCE1C"	10360	6399	17815	9044
"LCE1D"	5233	4264	6463	5022
"LCE1E"	133	0	0	71
"LCE1F"	1116	772	1738	3103
"LCE2A"	3103	1776	5123	2963
"LCE2C"	2925	2793	3024	3256
"LCE2D"	1733	1810	2835	1883
"LCE3A"	0	286	304	117
"LCE3B"	24	1	8	224
"LCE3D"	66	652	420	239
"LCE3E"	297	403	574	448
"LCE4A"	612	1264	2022	1768
"LCE5A"	1864	1578	3246	2668
"LCE6A"	1600	640	1723	2404
"LCK"	1123	1472	2830	3228
"LCLAT1"	31313	22666	34418	31479
"LCMT2"	37	386	79	335
"LCN10"	0	0	61	160
"LCN2"	638	418	533	899
"LCN6"	2057	4128	1144	3596
"LCN8"	342	147	547	654
"LCNL1"	1985	3998	3326	3274
"LCOR"	646	815	747	708
"LCORL"	4421	4779	3609	4810
"LCP1"	10212	3659	1844	5535
"LCP2"	8163	8274	9883	9404
"LCT"	5140	4093	4459	4543
"LCTL"	381	5892	2082	2238
"LDAH"	104	187	25	78
"LDB2"	13592	7825	12582	12461
"LDB3"	2631	2245	3554	4089
"LDHAL6A"	1109	384	1216	1117
"LDHAL6B"	15088	15403	13483	18833
"LDHB"	106	581	727	568
"LDHC"	1715	1800	1001	2694
"LDHD"	74	0	0	0
"LDLR"	46296	40939	81047	50925
"LDLRAD1"	4468	6346	6863	6891
"LDLRAD2"	597	1319	774	785
"LDLRAD3"	1115	1950	1593	1467
"LDOC1"	4559	7044	6704	8015
"LDOC1L"	3741	6352	8516	7812
"LEAP2"	57	0	0	0
"LECT1"	173	706	20	106
"LECT2"	280	100	123	205
"LEF1"	1959	2780	1693	3002
"LEFTY1"	1968	2184	3452	2409
"LEKR1"	2237	2224	524	2848
"LELP1"	336	413	162	343
"LEMD1"	1007	676	1019	876
"LEMD2"	8192	5453	9466	7157
"LEMD3"	17586	17763	35704	25936
"LENG1"	0	93	74	0
"LEP"	0	281	0	0
"LETM1"	0	52	0	0
"LETM2"	1364	1772	2820	1305
"LETMD1"	66	153	17	129
"LEUTX"	183	275	162	360
"LFNG"	1207	1566	2422	2434
"LGALS1"	133	370	590	360
"LGALS14"	31	0	28	0
"LGALS16"	116	389	423	468
"LGALS2"	1	529	271	432
"LGALS3"	190	515	350	30
"LGALS7B"	1751	1217	1981	2859
"LGALS8"	4939	3184	2772	3877
"LGALS9C"	0	76	0	0
"LGI1"	253	127	15	295
"LGI2"	3142	3244	2862	3917
"LGI3"	0	0	60	0
"LGI4"	485	312	815	625
"LGR4"	304	549	225	470
"LGR5"	1243	672	765	1526
"LGR6"	3327	3512	5756	4810
"LGSN"	1693	736	404	855
"LHB"	8453	8372	21356	12723
"LHCGR"	426	1255	891	857
"LHFP"	972	642	563	999
"LHFPL1"	315	260	518	158
"LHFPL2"	1746	1230	2860	1831
"LHFPL3"	2469	1721	2323	3508
"LHFPL5"	911	649	1417	907
"LHPP"	3244	2940	5249	2117
"LHX3"	0	1413	765	907
"LHX4"	1123	228	394	853
"LHX6"	4128	4039	7215	3732
"LHX9"	2713	1997	3360	3496
"LIF"	18836	10993	19225	15099
"LIFR"	466	464	191	726
"LILRA1"	105	97	178	178
"LILRA2"	248	395	196	492
"LILRA4"	111	522	40	232
"LILRA5"	1108	2001	1559	1270
"LILRA6"	970	1496	141	902
"LILRB1"	0	50	40	0
"LILRB2"	3807	3538	4206	5106
"LILRB5"	55	872	483	250
"LIMCH1"	2002	2645	650	3275
"LIMD1"	208	185	100	198
"LIMK1"	8368	8119	13218	13903
"LIMK2"	1411	828	1447	781
"LIMS1"	242	187	285	398
"LIMS2"	645	567	315	705
"LIMS3"	2136	1769	1212	2421
"LIMS3L"	497	266	666	479
"LIN28B"	2877	3965	4873	4223
"LIN37"	0	128	241	106
"LIN52"	0	79	23	41
"LIN7B"	487	598	991	524
"LIN7C"	1199	742	1011	994
"LINC01272"	2929	5214	5241	6724
"LINGO1"	1204	2273	782	1973
"LINGO4"	4036	3044	3669	3809
"LIPA"	22	56	0	0
"LIPC"	1370	1826	1035	1879
"LIPE"	1081	1277	1093	1711
"LIPF"	732	1157	542	1415
"LIPI"	0	207	0	14
"LIPJ"	91	604	117	174
"LIPK"	60	151	119	65
"LIPN"	167	989	97	624
"LIPT1"	1111	1519	1466	1786
"LIPT2"	68	0	216	0
"LITAF"	126	95	119	86
"LIX1"	0	0	78	0
"LIX1L"	163	304	24	104
"LKAAEAR1"	511	1886	2067	2330
"LLGL1"	1539	1353	834	2197
"LLGL2"	2691	3038	4102	3294
"LLPH"	649	1706	70	1092
"LMAN1"	251	386	154	190
"LMAN1L"	0	139	13	15
"LMBRD1"	163	0	48	178
"LMBRD2"	5941	4162	3467	6541
"LMNA"	206	203	28	209
"LMNB2"	2690	1711	2500	2509
"LMNTD2"	54	43	13	0
"LMO1"	2140	2760	4646	4685
"LMO2"	993	1903	2438	2309
"LMO3"	0	238	60	273
"LMO4"	1222	1001	2926	3032
"LMO7DN"	2082	1844	1413	1850
"LMOD1"	868	1033	361	581
"LMOD2"	331	267	377	448
"LMOD3"	259	203	127	47
"LMTK2"	0	0	11	0
"LMX1A"	127	210	50	74
"LMX1B"	5741	5955	11507	7119
"LNP1"	514	694	1259	889
"LNPEP"	0	167	59	0
"LNX1"	360	203	773	478
"LNX2"	923	898	505	786
"LOC100129083"	2	0	0	0
"LOC100129216"	1526	1414	1274	1732
"LOC100129924"	37	0	35	146
"LOC100129940"	1003	802	1562	1581
"LOC100130370"	159	58	207	92
"LOC100130451"	736	723	808	725
"LOC100130880"	12093	12975	16027	16510
"LOC100131303"	2377	490	1591	1642
"LOC100132146"	123	100	136	162
"LOC100133267"	17	0	0	0
"LOC100134391"	4114	3320	2949	3011
"LOC100144595"	314	387	464	887
"LOC100287036"	2969	4562	9460	5124
"LOC100289561"	1121	1111	687	1235
"LOC100505478"	45	49	123	77
"LOC100505549"	62	434	191	150
"LOC100505841"	2267	3164	1874	2714
"LOC100506388"	44	0	179	23
"LOC100506422"	19583	13348	32585	18923
"LOC100996634"	84	109	140	120
"LOC100996693"	2978	2480	2382	2453
"LOC101060321"	2789	3372	3819	3218
"LOC101927322"	772	1015	1388	1113
"LOC101927572"	0	131	48	19
"LOC101927844"	297	2552	2974	1142
"LOC101928093"	90	101	17	89
"LOC101928841"	3180	2157	4330	3421
"LOC101929372"	0	126	0	128
"LOC101929983"	18	1	0	0
"LOC102723859"	7815	8828	4175	8291
"LOC102724279"	739	282	645	728
"LOC102724957"	645	511	116	396
"LOC113230"	693	1232	799	774
"LOC149373"	3176	4269	4832	4562
"LOC158434"	132	0	92	261
"LOC200726"	17107	11520	17739	16594
"LOC283710"	1876	2092	3644	2362
"LOC286238"	27	461	121	114
"LOC388282"	5771	4453	6577	7187
"LOC388780"	0	253	0	0
"LOC388813"	680	610	674	969
"LOC389895"	331	444	289	421
"LOC391003"	0	71	79	0
"LOC400736"	2286	1652	1602	2558
"LOC400863"	283	427	643	217
"LOC400927-CSNK1E"	779	802	442	363
"LOC401052"	3597	2900	4327	2719
"LOC403312"	1712	776	1694	852
"LOC554223"	1230	2314	1422	1674
"LOC643355"	2004	1944	2948	1619
"LOC643802"	60	58	0	67
"LOC650293"	0	68	0	0
"LOC653602"	47	0	10	2
"LOC729159"	1389	2662	1923	2714
"LOC730159"	1298	1201	1782	1179
"LOC730183"	0	0	0	32
"LOC81691"	2684	1234	2055	2506
"LOH12CR1"	3002	2933	9583	4634
"LONP1"	14	0	0	0
"LONRF1"	42	0	34	74
"LONRF2"	31046	31621	30581	40428
"LONRF3"	28	0	90	154
"LOR"	5352	4112	11935	7335
"LOX"	20	0	0	0
"LOXHD1"	227	551	263	365
"LOXL1"	509	404	1428	477
"LOXL2"	3411	1834	5700	4741
"LPAR2"	35868	9014	28323	16620
"LPAR3"	0	0	37	44
"LPAR4"	418	441	716	421
"LPAR5"	120	306	85	75
"LPAR6"	0	51	24	110
"LPCAT1"	31	52	48	262
"LPCAT2"	9	0	0	0
"LPCAT3"	624	886	1164	713
"LPGAT1"	1159	924	1108	817
"LPIN1"	287	87	341	201
"LPIN2"	2970	1529	3540	2548
"LPIN3"	32	385	34	303
"LPL"	169	54	18	176
"LPO"	778	2267	3627	1533
"LPP"	822	535	876	833
"LPPR1"	303	199	90	288
"LPPR4"	2718	3003	5624	3140
"LPPR5"	380	1034	1392	786
"LPXN"	248	600	484	551
"LRAT"	1301	1410	2489	1698
"LRBA"	183	524	902	674
"LRCH1"	458	296	699	1089
"LRCH3"	2397	2171	2879	2796
"LRCH4"	346	849	980	594
"LRCOL1"	139	0	319	342
"LRFN1"	4764	5161	5785	5645
"LRFN2"	232	140	220	258
"LRFN3"	285	733	1151	739
"LRFN4"	7648	9512	6050	11254
"LRGUK"	4343	4798	2493	2775
"LRIF1"	0	0	38	0
"LRIG1"	736	1036	1051	2033
"LRIG3"	1551	1151	1676	1600
"LRIT3"	350	204	448	403
"LRMP"	1726	2433	1332	1930
"LRP10"	15	0	0	46
"LRP11"	1125	1907	1452	1950
"LRP12"	666	445	1004	591
"LRP1B"	0	60	24	0
"LRP2"	213	423	895	433
"LRP2BP"	2483	1548	2174	2854
"LRP3"	673	298	1226	788
"LRP4"	452	305	863	483
"LRP5L"	619	838	761	610
"LRP6"	8899	5017	6047	7291
"LRPAP1"	114	100	71	312
"LRRC1"	105	62	30	56
"LRRC10"	147	483	474	277
"LRRC10B"	302	99	713	489
"LRRC14B"	3167	3721	5067	3336
"LRRC15"	5344	5139	2029	4150
"LRRC17"	333	771	469	596
"LRRC18"	6711	4553	3610	7205
"LRRC20"	258	235	262	503
"LRRC23"	0	59	43	48
"LRRC24"	0	77	48	53
"LRRC25"	42	71	133	123
"LRRC26"	233	220	581	487
"LRRC27"	1990	2451	2447	3274
"LRRC28"	251	182	190	85
"LRRC29"	5473	6125	6161	7754
"LRRC3"	748	1189	963	1539
"LRRC30"	1843	3112	2080	2632
"LRRC31"	148	408	54	12
"LRRC32"	46	4	30	96
"LRRC34"	143	105	76	136
"LRRC36"	10768	7665	6138	10845
"LRRC37A"	18	0	0	0
"LRRC37B"	173	0	58	0
"LRRC38"	107	234	511	420
"LRRC39"	9599	3797	2540	6841
"LRRC3B"	111	77	0	69
"LRRC3C"	805	2216	1287	2729
"LRRC4"	84	52	0	0
"LRRC40"	454	341	821	847
"LRRC43"	3	0	0	0
"LRRC45"	3403	3185	9638	5088
"LRRC47"	4471	4996	2835	3789
"LRRC48"	2069	783	1758	1612
"LRRC49"	2373	1657	1987	2389
"LRRC4B"	829	579	916	593
"LRRC4C"	188	69	270	329
"LRRC55"	0	59	125	147
"LRRC56"	0	0	3	0
"LRRC57"	7618	9953	5442	7677
"LRRC58"	3153	4565	7809	5616
"LRRC59"	11004	11397	12438	14742
"LRRC6"	3097	8234	3581	5803
"LRRC61"	870	1048	1175	723
"LRRC69"	315	414	330	344
"LRRC7"	24	298	513	396
"LRRC70"	504	941	302	637
"LRRC74A"	713	1049	661	775
"LRRC74B"	405	286	331	322
"LRRC75B"	12354	5497	12978	9394
"LRRC8B"	5723	10906	7322	9950
"LRRC8D"	4424	5830	6998	7539
"LRRC8E"	0	0	67	38
"LRRCC1"	24	41	34	0
"LRRFIP1"	5292	3766	5204	5467
"LRRFIP2"	14764	13886	15534	17484
"LRRIQ1"	848	410	292	902
"LRRIQ4"	1061	842	2462	2379
"LRRK1"	2905	3546	3912	2758
"LRRK2"	105	332	144	272
"LRRN3"	432	480	78	332
"LRRN4CL"	5900	6396	6703	5848
"LRRTM1"	172	91	255	0
"LRRTM2"	1174	1086	2589	1641
"LRRTM3"	6725	4973	12005	6070
"LRRTM4"	881	1302	534	1430
"LRTM1"	927	1871	577	1773
"LRTOMT"	2235	1038	2090	1954
"LRWD1"	1268	1079	1575	902
"LSAMP"	11507	4649	13220	8210
"LSG1"	24	152	82	264
"LSM1"	158	494	75	213
"LSM11"	60	199	272	334
"LSM12"	2333	1024	2033	1846
"LSM14A"	217	82	83	125
"LSM14B"	597	747	215	948
"LSM3"	769	992	505	845
"LSM5"	329	301	131	603
"LSMEM2"	3300	2529	3710	3702
"LSP1"	5613	6672	8842	8243
"LSR"	25592	27165	43090	31300
"LSS"	7119	6123	16227	8176
"LTA"	16	277	52	0
"LTA4H"	1931	2463	1336	2256
"LTB"	3677	1708	3279	3389
"LTB4R"	289	867	619	581
"LTB4R2"	13042	15395	37239	17611
"LTBP1"	949	841	576	1398
"LTBP2"	308	178	219	97
"LTBP3"	0	0	289	207
"LTBP4"	0	0	25	0
"LTBR"	1263	4035	4195	3404
"LTF"	878	528	1205	2188
"LTK"	571	784	876	630
"LTN1"	1803	1065	2495	2434
"LUC7L"	2511	2929	4471	3840
"LUC7L2"	25	0	0	0
"LUM"	255	217	319	23
"LURAP1"	349	32	323	73
"LURAP1L"	14799	9788	10226	12642
"LUZP1"	4677	6788	7182	8209
"LUZP2"	551	561	206	842
"LUZP4"	23	53	34	257
"LUZP6"	166	257	238	203
"LVRN"	3543	5049	5973	6248
"LXN"	457	565	382	789
"LY6D"	124	112	99	598
"LY6G5B"	1052	822	846	1157
"LY6G5C"	223	120	9	77
"LY6G6C"	140	235	75	38
"LY6G6D"	5970	3206	6666	6535
"LY6G6F"	368	127	486	241
"LY6H"	83	29	90	47
"LY6K"	2786	2765	5209	2842
"LY86"	855	1516	1468	1676
"LY9"	264	211	49	52
"LY96"	969	355	787	1346
"LYAR"	42	0	0	0
"LYG1"	858	417	907	898
"LYG2"	2812	3193	2260	3293
"LYN"	1725	1985	1035	3277
"LYNX1"	9638	7766	13520	9138
"LYPD1"	1942	1735	3350	2909
"LYPD2"	80	7106	2081	2554
"LYPD3"	41	1307	628	343
"LYPD4"	590	864	1714	625
"LYPD6"	1158	1688	1291	1562
"LYPD8"	1291	1804	3273	2121
"LYPLA1"	691	1928	1426	1055
"LYPLA2"	1111	931	1363	766
"LYPLAL1"	3213	3682	867	3076
"LYRM1"	2215	3844	3103	3904
"LYRM2"	68	28	270	154
"LYRM7"	1339	866	3236	1521
"LYRM9"	4089	4793	8692	5552
"LYSMD1"	12	60	147	209
"LYSMD2"	724	1271	2800	1536
"LYSMD3"	1072	483	455	1157
"LYSMD4"	58	1429	118	397
"LYVE1"	2649	4576	4112	5466
"LYZ"	21714	9970	18292	16511
"LYZL1"	0	73	84	117
"LYZL4"	13795	11888	21499	17275
"LYZL6"	3012	8366	6650	6095
"LZIC"	2582	2865	3657	3109
"LZTR1"	4174	2410	6089	4777
"LZTS1"	2290	2109	4988	3037
"LZTS2"	1857	1905	2053	1156
"LZTS3"	102	852	451	260
"M6PR"	192	0	33	0
"MAATS1"	35	70	6	115
"MAB21L1"	2700	1636	1912	1681
"MAB21L2"	4120	3679	4318	3431
"MAB21L3"	4692	4190	8895	5867
"MACC1"	1121	898	542	1138
"MACF1"	35	509	56	136
"MACROD1"	4237	3982	7905	4410
"MACROD2"	132	98	36	94
"MAD2L2"	833	865	989	1377
"MADCAM1"	3115	3820	4962	4332
"MAEA"	584	831	741	1196
"MAEL"	1008	1131	828	1615
"MAF"	477	376	630	800
"MAFA"	12092	9986	12497	12905
"MAFB"	119	39	0	0
"MAFF"	3916	2920	8758	5869
"MAFG"	44	109	228	82
"MAFK"	0	63	0	0
"MAG"	685	68	348	166
"MAGEA1"	0	50	5	0
"MAGEA10"	0	0	4	0
"MAGEA3"	225	0	143	219
"MAGEA8"	13883	9759	9104	15324
"MAGEB1"	717	423	1859	1005
"MAGEB16"	12938	10928	19303	12290
"MAGEB17"	1249	1062	754	1409
"MAGEB18"	317	724	549	565
"MAGEB3"	1531	2689	509	1737
"MAGEB4"	1640	1089	443	1576
"MAGEB5"	21	50	246	290
"MAGEB6"	3890	3742	4316	4846
"MAGEC1"	0	225	0	0
"MAGEC2"	46	59	58	51
"MAGEC3"	23	0	84	58
"MAGED1"	3389	3982	2882	6505
"MAGED2"	57	349	262	191
"MAGED4"	138	0	132	0
"MAGEE2"	297	7330	3746	2764
"MAGEF1"	2931	1195	1291	1888
"MAGEL2"	0	7	43	0
"MAGI2"	1056	365	163	749
"MAGI3"	919	100	655	367
"MAGIX"	1420	2394	1481	3772
"MAGOH"	219	363	416	208
"MAGT1"	274	714	253	489
"MAL2"	5606	2544	7427	3174
"MALRD1"	1006	616	503	939
"MALSU1"	189	48	186	371
"MAML2"	423	242	366	361
"MAML3"	844	1516	1128	1189
