transE_high_s47	transE_low_s45	transE_medium_s46	transE_pre_s48
0	0	0	0
0	0	0	0
784	428	1104	445
0	0	0	0
0	0	0	0
0	0	0	0
770	439	305	705
0	0	0	0
463	219	507	737
0	103	5	43
0	0	0	0
0	0	0	0
0	0	0	0
42	141	79	0
0	0	0	0
21	0	4	0
0	0	0	0
346	176	315	232
0	0	0	0
0	0	0	0
9	126	30	332
0	0	0	0
0	64	0	0
0	0	0	0
0	0	0	0
780	1393	581	1079
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
319	187	235	264
0	0	0	0
0	0	0	0
76	0	150	183
0	0	13	35
5428	4072	4713	5151
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
128	471	588	532
0	1602	554	873
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
572	814	1346	1149
63	112	204	159
324	407	376	344
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
3811	2194	4807	4191
572	285	633	363
403	355	802	480
0	0	0	0
0	0	0	0
0	0	9	0
129	1339	809	475
2323	1755	5914	1944
2661	4085	3885	3366
0	0	0	0
2440	2647	1695	2207
0	0	0	0
87	131	19	52
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1761	2063	2969	1721
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	63	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1098	2715	4538	2485
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
3166	1494	2036	2728
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1680	1077	3598	2753
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
378	368	816	380
0	0	0	0
0	0	0	0
0	0	0	0
139	153	142	250
0	0	0	0
21	132	12	0
0	0	0	0
395	425	397	838
0	0	0	0
325	361	528	520
0	0	0	0
31	0	261	121
0	0	0	0
0	0	0	0
156	351	78	289
0	0	0	0
